,filename,AURC
0,01.txt,0.2910023793171472
1,02.txt,0.16321859834619132
2,03.txt,0.5263281404168171
3,04.txt,0.20322625144396494
4,05.txt,0.20572681332572745
5,06.txt,0.25747372129745544
6,07.txt,0.1567846716219155
7,08.txt,0.1419581841822045
8,09.txt,0.1754372863855255
9,10.txt,0.29885363950845606
10,11.txt,0.10023775356933057
11,12.txt,0.2996230868826841
12,13.txt,0.13066938908565198
13,14.txt,0.13503749436201604
14,15.txt,0.4444737781007875
15,16.txt,0.18600932454564825
16,17.txt,0.1951991655995127
17,18.txt,0.19855878966737087
18,19.txt,0.3855517538475411
19,20.txt,0.3426413992348729
20,21.txt,0.10784491787223675
21,22.txt,0.26676928269218114
22,23.txt,0.1648290974284477
23,24.txt,0.3731578868659117
24,25.txt,0.4454622862800595
25,26.txt,0.20219928542677557
26,27.txt,0.2821781771922565
27,28.txt,0.2779554680955702
28,29.txt,0.1637916931594472
29,30.txt,0.22305122158537097
30,31.txt,0.21699136889256782
31,32.txt,0.29710601323147745
32,33.txt,0.24021233261320463
33,34.txt,0.32721926624650843
34,35.txt,0.15569432584428075
35,36.txt,0.14411733522044182
36,37.txt,0.34750600077199495
37,38.txt,0.1681032603268957
38,39.txt,0.37847881253443016
39,40.txt,0.14303063492494378
40,41.txt,0.10899662615245492
41,42.txt,0.18887878947339642
42,43.txt,0.24056587575999583
43,44.txt,0.45721313760058047
44,45.txt,0.09046661764827219
45,46.txt,0.11653177220380541
46,47.txt,0.7291247938601976
47,48.txt,0.1791072562960988
48,49.txt,0.18407372617711296
49,50.txt,0.17867469971227323
