,filename,AURC
0,01.txt,0.2342112827747172
1,02.txt,0.5666918384659866
2,03.txt,0.38483493433506666
3,04.txt,0.30612200029084524
4,05.txt,0.5155830400470814
5,06.txt,0.26249598875719643
6,07.txt,0.29894009462723337
7,08.txt,0.49102594834503954
8,09.txt,0.36084713751703057
9,10.txt,0.37424303434828987
10,11.txt,0.5029590964808188
11,12.txt,0.6675359722079586
12,13.txt,0.24394351646335757
13,14.txt,0.26029711337610445
14,15.txt,0.27090603922225404
15,16.txt,0.2535902484559085
16,17.txt,0.21069377163519348
17,18.txt,0.3824826437838633
18,19.txt,0.07442890728642294
19,20.txt,0.9669115498892042
20,21.txt,0.42145790628452595
21,22.txt,0.44387346054067434
22,23.txt,0.8662357854873783
23,24.txt,0.14252022138677356
24,25.txt,0.37889830599352975
25,26.txt,0.5165138564235406
26,27.txt,0.3766569928913004
27,28.txt,0.3895892212796619
28,29.txt,0.6464912254289762
29,30.txt,0.5098026692028214
30,31.txt,0.49871878538087183
31,32.txt,0.18661776912536382
32,33.txt,0.19026543998711445
33,34.txt,0.2833390664918623
34,35.txt,0.35533002691748905
35,36.txt,0.1711089827209149
36,37.txt,0.5446800690013891
37,38.txt,0.5053882979850454
38,39.txt,0.34386851412756975
39,40.txt,0.22402051694309957
40,41.txt,0.3380488297040908
41,42.txt,0.6982587880106406
42,43.txt,0.39301708014982534
43,44.txt,0.4205529226519177
44,45.txt,0.14228552635308106
45,46.txt,0.5520956938757864
46,47.txt,0.16732282083385785
47,48.txt,0.4885079929017174
48,49.txt,0.3827922779175065
49,50.txt,0.08530179863521524
