,filename,AURC
0,01.txt,0.7696854407181521
1,02.txt,0.8300346086765499
2,03.txt,0.4193352768592621
3,04.txt,0.7974345681138436
4,05.txt,0.8065569091429332
5,06.txt,0.5123582881776553
6,07.txt,0.7006265977658436
7,08.txt,0.8522521147424884
8,09.txt,0.24571819748591286
9,10.txt,0.7853145427535356
10,11.txt,0.9138472395006265
11,12.txt,0.5828369632262665
12,13.txt,0.5049112192199873
13,14.txt,0.6194523445105709
14,15.txt,0.8821414549252738
15,16.txt,0.5920671185413763
16,17.txt,0.6241335410457398
17,18.txt,0.7469157021248193
18,19.txt,0.40820888564803737
19,20.txt,0.706836318655132
20,21.txt,0.9808298221636292
21,22.txt,0.2664005552352584
22,23.txt,0.9529953336466217
23,24.txt,0.8736133719893515
24,25.txt,0.7753691831444279
25,26.txt,0.3969061407236732
26,27.txt,0.59622795595097
27,28.txt,0.7545003801742514
28,29.txt,0.7289976491596635
29,30.txt,0.8269121932488369
30,31.txt,0.7555035078263679
31,32.txt,0.5377330236412647
32,33.txt,0.37731238195186007
33,34.txt,0.8966802727599281
34,35.txt,0.5461423638062926
35,36.txt,0.8404233502710804
36,37.txt,0.6989761496940967
37,38.txt,0.5434336630446855
38,39.txt,0.4148946980407646
39,40.txt,0.7308368608498574
40,41.txt,0.4069803527678453
41,42.txt,0.5020034418498358
42,43.txt,0.6862982343327031
43,44.txt,0.7727979407243902
44,45.txt,0.7324047415534732
45,46.txt,0.5630552240203867
46,47.txt,0.6727000786426965
47,48.txt,0.5106116717823219
48,49.txt,0.3484656280092753
49,50.txt,0.8843304212703637
