,filename,AURC
0,01.txt,0.6180182596316884
1,02.txt,0.4689657391448013
2,03.txt,0.3201171931349767
3,04.txt,0.8876846360369902
4,05.txt,0.7042617337072543
5,06.txt,0.6760162327816666
6,07.txt,0.32805628194556785
7,08.txt,0.5456408444303353
8,09.txt,0.530938161021585
9,10.txt,0.5774604385860674
10,11.txt,0.6993400793993896
11,12.txt,0.41575367916116995
12,13.txt,0.5977392755172205
13,14.txt,0.4685972389929867
14,15.txt,0.39996490064613344
15,16.txt,0.6156968872359019
16,17.txt,0.6107107782728093
17,18.txt,0.5891940072651266
18,19.txt,0.6958644200934848
19,20.txt,0.5119062878586755
20,21.txt,0.6315761760021419
21,22.txt,0.36254208775500085
22,23.txt,0.46917699808636015
23,24.txt,0.8087393770967687
24,25.txt,0.33883350251901284
25,26.txt,0.3929758983411797
26,27.txt,0.5553538441578841
27,28.txt,0.4471622180375616
28,29.txt,0.5850804608470062
29,30.txt,0.568191150902778
30,31.txt,0.47599377157961964
31,32.txt,0.3061005156672992
32,33.txt,0.8558944939270666
33,34.txt,0.5398403064796281
34,35.txt,0.5454563047001784
35,36.txt,0.49168841849666345
36,37.txt,0.5148419178821945
37,38.txt,0.5837152210009613
38,39.txt,0.7792719632129961
39,40.txt,0.6863492691803763
40,41.txt,0.57541597877554
41,42.txt,0.6657270985402142
42,43.txt,0.5423802473306608
43,44.txt,0.5667990941038443
44,45.txt,0.43738379886597734
45,46.txt,0.4206049829091791
46,47.txt,0.7221527322019534
47,48.txt,0.5872007093498043
48,49.txt,0.731712683914629
49,50.txt,0.7196172379863279
